Project_ID,Project_Name,State,District,Category,Sanctioned_Amount,Actual_Expenditure,Physical_Progress,Financial_Progress,Start_Date,Expected_Completion,Implementing_Agency,Status
MPL-2026-1000,Construction of Health Sub Centre,Uttar Pradesh,Lucknow,Healthcare,10000000,12400000,46,124,2025-01-11,2025-05-19,Jal Nigam,Cost Overrun
MPL-2026-1001,Construction of Public Library,Rajasthan,Kota,Community,5000000,3550000,64,71,2025-10-07,2026-06-22,Panchayati Raj Department,In Progress
MPL-2026-1002,Renovation of Primary Health Centre,Uttarakhand,Haridwar,Healthcare,500000,340000,59,68,2025-11-23,2026-07-27,PWD Dehradun,In Progress
MPL-2026-1003,Construction of Rural Road,Rajasthan,Ajmer,Roads,800000,424000,46,53,2025-09-01,2026-05-18,Panchayati Raj Department,Delayed
MPL-2026-1004,Construction of Public Library,Bihar,Patna,Community,1000000,730000,69,73,2025-01-18,2025-09-03,Public Health Engineering Department,In Progress
MPL-2026-1005,Medical Equipment Facility,Uttarakhand,Haridwar,Healthcare,3000000,2610000,44,87,2025-11-23,2026-09-06,District Rural Development Agency,Payment-Progress Mismatch
MPL-2026-1006,Construction of Community Hall,Bihar,Patna,Community,2000000,1580000,79,79,2025-12-07,2026-11-30,District Rural Development Agency,In Progress
MPL-2026-1007,Renovation of Primary Health Centre,Uttar Pradesh,Varanasi,Healthcare,800000,704000,83,88,2025-04-08,2025-11-05,Nagar Nigam,In Progress
MPL-2026-1008,Construction of Primary School,Maharashtra,Nashik,Education,2500000,1550000,44,62,2025-11-25,2026-08-22,Municipal Corporation,Delayed
MPL-2026-1009,Construction of Rural Road,Bihar,Gaya,Roads,10000000,6600000,67,66,2025-03-28,2025-10-09,District Rural Development Agency,In Progress
MPL-2026-1010,Construction of Public Library,Uttarakhand,Nainital,Community,1000000,600000,59,60,2025-01-08,2025-11-23,District Rural Development Agency,In Progress
MPL-2026-1011,Construction of Public Toilets,Uttarakhand,Dehradun,Sanitation,500000,760000,23,152,2025-02-09,2025-10-04,Municipal Corporation,High Risk
MPL-2026-1012,Drainage and Sanitation Improvement,Uttarakhand,Haridwar,Sanitation,1500000,750000,56,50,2025-09-04,2026-07-26,Municipal Corporation,In Progress
MPL-2026-1013,Construction of Public Toilets,Maharashtra,Aurangabad,Sanitation,1000000,700000,76,70,2025-07-19,2026-06-20,Zilla Parishad,In Progress
MPL-2026-1014,Community Sanitation Facility,Uttarakhand,Haridwar,Sanitation,1000000,480000,37,48,2025-06-11,2026-01-23,Municipal Corporation,Delayed
MPL-2026-1015,Construction of Drinking Water Facility,Uttarakhand,Nainital,Water,3000000,3000000,97,100,2025-10-15,2026-05-30,Municipal Corporation,Completed
MPL-2026-1016,Construction of Classroom Block,Maharashtra,Nagpur,Education,1000000,790000,74,79,2026-01-02,2026-08-19,PWD Maharashtra,In Progress
MPL-2026-1017,Medical Equipment Facility,Bihar,Nalanda,Healthcare,1500000,810000,56,54,2025-03-08,2025-10-01,Municipal Corporation,In Progress
MPL-2026-1018,Drainage and Sanitation Improvement,Maharashtra,Aurangabad,Sanitation,7500000,7500000,94,100,2026-03-12,2026-09-11,Municipal Corporation,In Progress
MPL-2026-1019,Construction of Community Water Supply,Uttar Pradesh,Lucknow,Water,10000000,10900000,62,109,2025-07-02,2026-04-03,District Panchayat,Cost Overrun
MPL-2026-1020,Construction of Multipurpose Community Centre,Bihar,Nalanda,Community,3000000,1740000,56,58,2026-05-13,2027-02-01,District Rural Development Agency,In Progress
MPL-2026-1021,Construction of Classroom Block,Bihar,Bhagalpur,Education,4000000,2760000,72,69,2025-03-09,2025-11-19,Municipal Corporation,In Progress
MPL-2026-1022,Medical Equipment Facility,Maharashtra,Aurangabad,Healthcare,1000000,1300000,58,130,2026-01-07,2026-05-10,Municipal Corporation,Cost Overrun
MPL-2026-1023,Construction of Public Toilets,Maharashtra,Nashik,Sanitation,10000000,10000000,100,100,2025-10-30,2026-06-07,Zilla Parishad,Completed
MPL-2026-1024,Construction of Primary School,Bihar,Muzaffarpur,Education,2500000,1550000,42,62,2025-02-23,2025-09-26,Municipal Corporation,Delayed
MPL-2026-1025,Construction of Rural Road,Maharashtra,Thane,Roads,7500000,5400000,69,72,2026-03-17,2026-12-06,Municipal Corporation,In Progress
MPL-2026-1026,Construction of Health Sub Centre,Rajasthan,Kota,Healthcare,4000000,6120000,21,153,2025-06-20,2026-02-11,Urban Improvement Trust,High Risk
MPL-2026-1027,Community Sanitation Facility,Uttarakhand,Pauri Garhwal,Sanitation,1000000,1270000,77,127,2025-03-06,2025-07-05,PWD Dehradun,Cost Overrun
MPL-2026-1028,Construction of Community Library,Uttar Pradesh,Meerut,Education,7500000,9525000,79,127,2026-05-01,2026-10-16,PWD Uttar Pradesh,Cost Overrun
MPL-2026-1029,Renovation of Government School,Uttarakhand,Haridwar,Education,800000,488000,65,61,2025-12-06,2026-09-18,Municipal Corporation,In Progress
MPL-2026-1030,Medical Equipment Facility,Uttar Pradesh,Prayagraj,Healthcare,2000000,3240000,20,162,2026-01-20,2026-09-28,Rural Development Department,High Risk
MPL-2026-1031,Construction of Drinking Water Facility,Bihar,Nalanda,Water,5000000,3050000,64,61,2025-11-21,2026-07-16,PWD Bihar,In Progress
MPL-2026-1032,Renovation of Primary Health Centre,Uttar Pradesh,Agra,Healthcare,5000000,4900000,97,98,2025-05-11,2026-01-20,Nagar Nigam,Completed
MPL-2026-1033,Construction of Public Library,Maharashtra,Nagpur,Community,4000000,5160000,46,129,2026-01-30,2026-12-04,Maharashtra Jeevan Pradhikaran,Cost Overrun
MPL-2026-1034,Construction of Community Health Facility,Uttarakhand,Haridwar,Healthcare,1000000,480000,56,48,2025-08-06,2026-03-24,Rural Works Department,In Progress
MPL-2026-1035,Road and Drainage Improvement,Uttarakhand,Nainital,Roads,5000000,3000000,58,60,2026-04-09,2026-11-14,Municipal Corporation,In Progress
MPL-2026-1036,Construction of Rural Road,Rajasthan,Ajmer,Roads,3000000,2250000,79,75,2026-04-15,2026-10-31,Panchayati Raj Department,In Progress
MPL-2026-1037,Installation of Water Tank,Maharashtra,Nagpur,Water,5000000,3100000,57,62,2025-06-11,2025-12-31,Municipal Corporation,In Progress
MPL-2026-1038,Road and Drainage Improvement,Maharashtra,Nagpur,Roads,5000000,2400000,56,48,2025-09-13,2026-06-14,Municipal Corporation,In Progress
MPL-2026-1039,Construction of Public Library,Uttar Pradesh,Prayagraj,Community,10000000,6300000,55,63,2025-06-19,2026-02-01,Rural Development Department,In Progress
MPL-2026-1040,Solid Waste Management Facility,Bihar,Muzaffarpur,Sanitation,2000000,1700000,89,85,2026-01-15,2026-12-12,Rural Works Department,In Progress
